,precision,recall,f1-score,support
acanthis_flammea,0.75,0.42857142857142855,0.5454545454545454,7.0
accipiter_brevipes,1.0,0.6666666666666666,0.8,3.0
accipiter_gentilis,0.8,0.45454545454545453,0.5797101449275363,88.0
accipiter_gularis,1.0,1.0,1.0,7.0
accipiter_nisus,0.7386363636363636,0.5241935483870968,0.6132075471698113,124.0
acridotheres_tristis,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
acrocephalus_arundinaceus,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
acrocephalus_melanopogon,1.0,0.6666666666666666,0.8,6.0
acrocephalus_palustris,0.7142857142857143,0.20833333333333334,0.3225806451612903,24.0
acrocephalus_schoenobaenus,0.6666666666666666,0.2222222222222222,0.3333333333333333,27.0
acrocephalus_scirpaceus,0.5,0.1875,0.2727272727272727,32.0
actitis_hypoleucos,0.7,0.5,0.5833333333333334,28.0
aegithalos_caudatus,0.34782608695652173,0.5,0.41025641025641024,16.0
aegolius_funereus,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
aegypius_monachus,0.3333333333333333,1.0,0.5,1.0
agapornis_canus,1.0,1.0,1.0,1.0
agapornis_lilianae,1.0,1.0,1.0,2.0
agropsar_philippensis,1.0,0.8,0.8888888888888888,5.0
aix_galericulata,0.8372093023255814,0.631578947368421,0.72,57.0
aix_sponsa,0.8888888888888888,0.4897959183673469,0.631578947368421,49.0
alca_torda,0.8461538461538461,0.825,0.8354430379746836,40.0
alcedo_atthis,1.0,0.5517241379310345,0.7111111111111111,29.0
alectoris_chukar,0.0,0.0,0.0,8.0
alectoris_graeca,0.75,0.75,0.75,4.0
alectoris_rufa,0.2222222222222222,1.0,0.36363636363636365,2.0
alle_alle,0.6428571428571429,0.9,0.75,10.0
amadina_fasciata,0.0,0.0,0.0,4.0
amaurornis_phoenicurus,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
amazona_ochrocephala,0.7058823529411765,0.9230769230769231,0.8,13.0
anas_acuta,0.5,0.32432432432432434,0.39344262295081966,37.0
anas_bahamensis,0.64,0.8421052631578947,0.7272727272727273,19.0
anas_carolinensis,0.875,0.5,0.6363636363636364,14.0
anas_clypeata,0.6666666666666666,0.6486486486486487,0.6575342465753424,37.0
anas_crecca,0.35714285714285715,0.2857142857142857,0.31746031746031744,35.0
anas_hottentota,0.6,0.375,0.46153846153846156,8.0
anas_penelope,0.4,0.9333333333333333,0.56,15.0
anas_platyrhynchos,0.5454545454545454,0.8108108108108109,0.6521739130434783,37.0
anas_poecilorhyncha,1.0,0.5714285714285714,0.7272727272727273,7.0
anas_querquedula,0.75,0.375,0.5,16.0
anas_strepera,0.5,0.18181818181818182,0.26666666666666666,11.0
anas_zonorhyncha,0.5,1.0,0.6666666666666666,10.0
anser_albifrons,0.5769230769230769,0.7894736842105263,0.6666666666666666,19.0
anser_anser,0.8181818181818182,0.6923076923076923,0.75,26.0
anser_brachyrhynchus,0.7142857142857143,0.8333333333333334,0.7692307692307693,18.0
anser_caerulescens,0.6666666666666666,0.18181818181818182,0.2857142857142857,11.0
anser_canagicus,0.5,0.09090909090909091,0.15384615384615385,11.0
anser_fabalis,0.9,0.5,0.6428571428571429,18.0
anser_rossii,0.45454545454545453,0.8333333333333334,0.5882352941176471,6.0
anthornis_melanura,1.0,0.25,0.4,4.0
anthracoceros_coronatus,1.0,0.5,0.6666666666666666,2.0
anthus_pratensis,0.3076923076923077,0.5,0.38095238095238093,8.0
apus_affinis,0.7142857142857143,0.8333333333333334,0.7692307692307693,6.0
apus_apus,0.7619047619047619,0.8888888888888888,0.8205128205128205,36.0
aquila_chrysaetos,0.3888888888888889,0.5384615384615384,0.45161290322580644,26.0
aquila_clanga,1.0,1.0,1.0,1.0
aquila_heliaca,0.125,0.3333333333333333,0.18181818181818182,6.0
aquila_nipalensis,0.8461538461538461,0.6875,0.7586206896551724,16.0
aquila_pennata,0.08333333333333333,1.0,0.15384615384615385,1.0
aquila_pomarina_clanga_pomarina,0.4782608695652174,0.6875,0.5641025641025641,16.0
aquila_verreauxii,0.16666666666666666,0.75,0.2727272727272727,4.0
aquila_wahlbergi,0.375,1.0,0.5454545454545454,3.0
aramides_cajaneus,0.5,1.0,0.6666666666666666,6.0
aratinga_acuticaudata,0.6666666666666666,1.0,0.8,2.0
archilochus_colubris,0.75,0.3333333333333333,0.46153846153846156,9.0
ardea_alba,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
ardea_cinerea,1.0,1.0,1.0,2.0
ardea_purpurea,0.5,0.5,0.5,2.0
ardenna_tenuirostris,1.0,1.0,1.0,5.0
arenaria_interpres,0.4074074074074074,0.7333333333333333,0.5238095238095238,15.0
argusianus_argus,1.0,1.0,1.0,1.0
arizelocichla_masukuensis,0.5,0.5,0.5,4.0
arremonops_conirostris,0.5,0.75,0.6,4.0
asio_flammeus,0.19008264462809918,0.6571428571428571,0.2948717948717949,35.0
