,precision,recall,f1-score,support
pluvialis_squatarola,0.96,0.5,0.6575342465753424,48.0
polyplectron_schleiermacheri,0.88,0.9166666666666666,0.8979591836734694,24.0
regulus_regulus,0.7894736842105263,0.75,0.7692307692307693,20.0
rhodopechys_obsoleta,0.7037037037037037,0.9047619047619048,0.7916666666666666,21.0
rostratula_benghalensis,1.0,0.7647058823529411,0.8666666666666667,17.0
spinus_psaltria,0.9166666666666666,0.6875,0.7857142857142857,16.0
strix_aluco,0.6,1.0,0.75,27.0
tetrao_urogallus,0.88,0.8148148148148148,0.8461538461538461,27.0
tringa_totanus,0.5833333333333334,0.56,0.5714285714285714,25.0
tyto_alba,0.8181818181818182,0.84375,0.8307692307692308,32.0
accuracy,0.7484108397457344,0.7484108397457344,0.7484108397457344,0.7484108397457344
macro avg,0.7898021678228828,0.7495859402379378,0.7490749248733914,2989.0
weighted avg,0.7844598222819424,0.7484108397457344,0.7477361196476427,2989.0
