,precision,recall,f1-score,support
accipiter_gentilis,0.8656716417910447,0.6590909090909091,0.7483870967741936,88.0
accipiter_nisus,0.7279411764705882,0.7983870967741935,0.7615384615384615,124.0
acrocephalus_palustris,0.8888888888888888,0.3333333333333333,0.48484848484848486,24.0
acrocephalus_schoenobaenus,0.3888888888888889,0.7777777777777778,0.5185185185185185,27.0
acrocephalus_scirpaceus,0.9,0.28125,0.42857142857142855,32.0
actitis_hypoleucos,1.0,0.35714285714285715,0.5263157894736842,28.0
aegithalos_caudatus,0.8181818181818182,0.5625,0.6666666666666666,16.0
aegolius_funereus,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
aix_galericulata,0.6075949367088608,0.8275862068965517,0.7007299270072993,58.0
aix_sponsa,0.90625,0.5918367346938775,0.7160493827160493,49.0
alca_torda,0.9047619047619048,0.95,0.926829268292683,40.0
alcedo_atthis,0.8333333333333334,0.8620689655172413,0.847457627118644,29.0
anas_acuta,0.7083333333333334,0.4594594594594595,0.5573770491803278,37.0
anas_bahamensis,0.7894736842105263,0.7894736842105263,0.7894736842105263,19.0
anas_clypeata,0.4666666666666667,0.7567567567567568,0.5773195876288659,37.0
anas_crecca,0.6486486486486487,0.6857142857142857,0.6666666666666666,35.0
anas_platyrhynchos,0.4925373134328358,0.8918918918918919,0.6346153846153846,37.0
anas_querquedula,0.5555555555555556,0.9375,0.6976744186046512,16.0
anser_albifrons,0.5135135135135135,1.0,0.6785714285714286,19.0
anser_anser,0.8333333333333334,0.7692307692307693,0.8,26.0
anser_brachyrhynchus,1.0,0.6666666666666666,0.8,18.0
anser_fabalis,1.0,0.3888888888888889,0.56,18.0
apus_apus,0.9090909090909091,0.8333333333333334,0.8695652173913043,36.0
aquila_chrysaetos,0.4782608695652174,0.8461538461538461,0.6111111111111112,26.0
aquila_nipalensis,1.0,0.625,0.7692307692307693,16.0
aquila_pomarina_clanga_pomarina,0.37209302325581395,1.0,0.5423728813559322,16.0
ardea_alba,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
asio_flammeus,0.34,0.9714285714285714,0.5037037037037037,35.0
asio_otus,0.6857142857142857,0.7619047619047619,0.7218045112781954,63.0
athene_noctua,0.5396825396825397,0.85,0.6601941747572816,40.0
aythya_ferina,0.6875,0.8461538461538461,0.7586206896551724,26.0
aythya_fuligula,0.8461538461538461,0.6875,0.7586206896551724,16.0
aythya_marila,0.9,0.5294117647058824,0.6666666666666666,17.0
bombycilla_garrulus,0.9130434782608695,0.7777777777777778,0.84,27.0
bonasia_bonasia,1.0,0.7222222222222222,0.8387096774193549,18.0
botaurus_stellaris,0.9444444444444444,0.85,0.8947368421052632,40.0
bubo_bubo,0.75,0.7894736842105263,0.7692307692307693,19.0
buteo_buteo,0.5151515151515151,0.8095238095238095,0.6296296296296297,21.0
buteo_rufinus,0.6,0.8333333333333334,0.6976744186046512,18.0
calidris_alpina,0.7407407407407407,0.4166666666666667,0.5333333333333333,48.0
calidris_canutus,1.0,0.65,0.7878787878787878,40.0
calidris_minuta,1.0,0.4375,0.6086956521739131,16.0
callonetta_leucophrys,1.0,0.55,0.7096774193548387,20.0
